Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/ICA_data/velocity_
Data matrix X is n by m: 27000 x 1000
POD error with  4  modes: 0.24450437823542415
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 15
Total number of parameters in DESMO: 135039
Epoch [1/100000], Rec Loss: 19.99278831, Spatial ortho loss: 0.00000002, L1 loss: 27.00000000 
Model saved at epoch 1 to ./models/DESMO_r4_epoch1_20250127_112105.pt
Epoch [11/100000], Rec Loss: 13.41384983, Spatial ortho loss: 0.00017986, L1 loss: 24.47114372 
Epoch [21/100000], Rec Loss: 8.62733841, Spatial ortho loss: 0.00027120, L1 loss: 22.36789322 
Epoch [31/100000], Rec Loss: 6.20445871, Spatial ortho loss: 0.00032786, L1 loss: 20.91611481 
Epoch [41/100000], Rec Loss: 4.70622730, Spatial ortho loss: 0.00039775, L1 loss: 19.69452477 
Epoch [51/100000], Rec Loss: 3.66504288, Spatial ortho loss: 0.00048558, L1 loss: 18.60697746 
Epoch [61/100000], Rec Loss: 2.97926092, Spatial ortho loss: 0.00062444, L1 loss: 17.62182236 
Epoch [71/100000], Rec Loss: 2.46570587, Spatial ortho loss: 0.00080462, L1 loss: 16.70086098 
Epoch [81/100000], Rec Loss: 2.07241940, Spatial ortho loss: 0.00093181, L1 loss: 15.82901955 
Epoch [91/100000], Rec Loss: 1.77100027, Spatial ortho loss: 0.00100882, L1 loss: 14.99456596 
Epoch [101/100000], Rec Loss: 1.53970551, Spatial ortho loss: 0.00103848, L1 loss: 14.18645287 
Epoch [111/100000], Rec Loss: 1.35083055, Spatial ortho loss: 0.00105521, L1 loss: 13.48909950 
Epoch [121/100000], Rec Loss: 1.19548595, Spatial ortho loss: 0.00106459, L1 loss: 12.96813583 
Epoch [131/100000], Rec Loss: 1.06586742, Spatial ortho loss: 0.00107218, L1 loss: 12.51898003 
Epoch [141/100000], Rec Loss: 0.95620131, Spatial ortho loss: 0.00107937, L1 loss: 12.12987900 
Epoch [151/100000], Rec Loss: 0.86258978, Spatial ortho loss: 0.00108623, L1 loss: 11.83379459 
Epoch [161/100000], Rec Loss: 0.78197241, Spatial ortho loss: 0.00109243, L1 loss: 11.55727196 
Epoch [171/100000], Rec Loss: 0.71198601, Spatial ortho loss: 0.00109782, L1 loss: 11.30248547 
Epoch [181/100000], Rec Loss: 0.65081465, Spatial ortho loss: 0.00110712, L1 loss: 11.04257584 
Epoch [191/100000], Rec Loss: 0.59702402, Spatial ortho loss: 0.00112339, L1 loss: 10.79819489 
Epoch [201/100000], Rec Loss: 0.54946142, Spatial ortho loss: 0.00113903, L1 loss: 10.55232239 
Epoch [211/100000], Rec Loss: 0.50719523, Spatial ortho loss: 0.00115402, L1 loss: 10.35076427 
Epoch [221/100000], Rec Loss: 0.46946371, Spatial ortho loss: 0.00116837, L1 loss: 10.19688511 
Epoch [231/100000], Rec Loss: 0.43563992, Spatial ortho loss: 0.00118220, L1 loss: 10.10163784 
Epoch [241/100000], Rec Loss: 0.40520266, Spatial ortho loss: 0.00119553, L1 loss: 10.03728104 
Epoch [251/100000], Rec Loss: 0.37771618, Spatial ortho loss: 0.00120845, L1 loss: 9.98337746 
Epoch [261/100000], Rec Loss: 0.35281289, Spatial ortho loss: 0.00122096, L1 loss: 9.93326855 
Epoch [271/100000], Rec Loss: 0.33018097, Spatial ortho loss: 0.00123310, L1 loss: 9.88903809 
Epoch [281/100000], Rec Loss: 0.30955464, Spatial ortho loss: 0.00124489, L1 loss: 9.84596157 
Epoch [291/100000], Rec Loss: 0.29070595, Spatial ortho loss: 0.00125630, L1 loss: 9.80155373 
