Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/cylinder_data/velocity_
Data matrix X is n by m: 3961 x 1001
POD error with  4  modes: 0.12567867638348762
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 35
Total number of parameters in DESMO: 62950
Epoch [1/100000], Rec Loss: 11.529078483582, Spatial ortho loss: 0.00000001, L1 loss: 47.0000 
Model saved at epoch 1 to ./models/DESMO_Cylinder_r4_epoch1_20250125_160713.pt
Epoch [11/100000], Rec Loss: 7.318025588989, Spatial ortho loss: 0.00039765, L1 loss: 42.5846 
Epoch [21/100000], Rec Loss: 4.636411190033, Spatial ortho loss: 0.00048880, L1 loss: 38.6694 
Epoch [31/100000], Rec Loss: 3.338735103607, Spatial ortho loss: 0.00060899, L1 loss: 35.2298 
Epoch [41/100000], Rec Loss: 2.217112541199, Spatial ortho loss: 0.00066266, L1 loss: 32.1243 
Epoch [51/100000], Rec Loss: 1.691442728043, Spatial ortho loss: 0.00074114, L1 loss: 29.3100 
Epoch [61/100000], Rec Loss: 1.301149487495, Spatial ortho loss: 0.00079659, L1 loss: 26.6318 
Epoch [71/100000], Rec Loss: 1.312359213829, Spatial ortho loss: 0.00080007, L1 loss: 24.0593 
Epoch [81/100000], Rec Loss: 1.018391966820, Spatial ortho loss: 0.00078878, L1 loss: 21.5032 
Epoch [91/100000], Rec Loss: 0.798244059086, Spatial ortho loss: 0.00079638, L1 loss: 18.9914 
Epoch [101/100000], Rec Loss: 0.642651498318, Spatial ortho loss: 0.00077733, L1 loss: 16.5259 
Epoch [111/100000], Rec Loss: 0.534269392490, Spatial ortho loss: 0.00075580, L1 loss: 15.7234 
Epoch [121/100000], Rec Loss: 0.442738264799, Spatial ortho loss: 0.00073152, L1 loss: 14.7979 
Epoch [131/100000], Rec Loss: 0.382664114237, Spatial ortho loss: 0.00072104, L1 loss: 14.2112 
Epoch [141/100000], Rec Loss: 0.336690336466, Spatial ortho loss: 0.00073715, L1 loss: 13.6044 
Epoch [151/100000], Rec Loss: 0.303552359343, Spatial ortho loss: 0.00076860, L1 loss: 13.2149 
Epoch [161/100000], Rec Loss: 0.276290386915, Spatial ortho loss: 0.00079197, L1 loss: 12.9337 
Epoch [171/100000], Rec Loss: 0.253149479628, Spatial ortho loss: 0.00080778, L1 loss: 12.6592 
Epoch [181/100000], Rec Loss: 0.233471095562, Spatial ortho loss: 0.00081819, L1 loss: 12.5126 
Epoch [191/100000], Rec Loss: 0.216342940927, Spatial ortho loss: 0.00082567, L1 loss: 12.3648 
