Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/turbulent_channel_data/velocity_
Data matrix X is n by m: 16384 x 1000
POD error with  4  modes: 0.8443759549294912
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 15
Total number of parameters in DESMO: 92575
Epoch [1/60000], Rec Loss: 10.039654731750, Spatial ortho loss: 0.00000000, L1 loss: 27.0000 
Model saved at epoch 1 to ./models/DESMO_turbulent_r4_epoch1_20250415_123051.pt
Epoch [11/60000], Rec Loss: 6.140620231628, Spatial ortho loss: 0.00028669, L1 loss: 24.4547 
Epoch [21/60000], Rec Loss: 2.514919757843, Spatial ortho loss: 0.00042367, L1 loss: 22.3462 
Epoch [31/60000], Rec Loss: 1.375383377075, Spatial ortho loss: 0.00056069, L1 loss: 20.7717 
Epoch [41/60000], Rec Loss: 0.818987846375, Spatial ortho loss: 0.00062485, L1 loss: 19.5101 
Epoch [51/60000], Rec Loss: 0.554550290108, Spatial ortho loss: 0.00065178, L1 loss: 18.4372 
Epoch [61/60000], Rec Loss: 0.424550712109, Spatial ortho loss: 0.00066146, L1 loss: 17.4691 
Epoch [71/60000], Rec Loss: 0.341002583504, Spatial ortho loss: 0.00066674, L1 loss: 16.5579 
Epoch [81/60000], Rec Loss: 0.288597315550, Spatial ortho loss: 0.00067332, L1 loss: 15.6772 
Epoch [91/60000], Rec Loss: 0.250470966101, Spatial ortho loss: 0.00068170, L1 loss: 14.8129 
Epoch [101/60000], Rec Loss: 0.222138240933, Spatial ortho loss: 0.00069029, L1 loss: 13.9576 
Epoch [111/60000], Rec Loss: 0.199872329831, Spatial ortho loss: 0.00069834, L1 loss: 13.5897 
Epoch [121/60000], Rec Loss: 0.181861341000, Spatial ortho loss: 0.00070562, L1 loss: 13.2389 
Epoch [131/60000], Rec Loss: 0.166979834437, Spatial ortho loss: 0.00071219, L1 loss: 12.9542 
Epoch [141/60000], Rec Loss: 0.154448032379, Spatial ortho loss: 0.00071820, L1 loss: 12.6959 
Epoch [151/60000], Rec Loss: 0.143731728196, Spatial ortho loss: 0.00072373, L1 loss: 12.4373 
Epoch [161/60000], Rec Loss: 0.134451031685, Spatial ortho loss: 0.00072883, L1 loss: 12.2203 
