Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/ICA_data/velocity_
Data matrix X is n by m: 27000 x 1000
POD error with  2  modes: 0.31892968560852825
Running on GPU
Number of terms in polynomial library: 6
Total number of parameters in DESMO: 54762
Epoch [1/100000], Rec Loss: 256.01519775, Spatial ortho loss: 0.00000000, L1 loss: 12.00000000 
Model saved at epoch 1 to ./models/DESMOFourier_r2_epoch1_20250204_183129.pt
Epoch [11/100000], Rec Loss: 169.01574707, Spatial ortho loss: 0.00006769, L1 loss: 10.89924812 
Epoch [21/100000], Rec Loss: 101.85961151, Spatial ortho loss: 0.00012368, L1 loss: 10.04229927 
Epoch [31/100000], Rec Loss: 73.47095490, Spatial ortho loss: 0.00013902, L1 loss: 9.47552013 
Epoch [41/100000], Rec Loss: 55.44930649, Spatial ortho loss: 0.00015286, L1 loss: 9.08346272 
Epoch [51/100000], Rec Loss: 44.00119400, Spatial ortho loss: 0.00014801, L1 loss: 8.81299973 
Epoch [61/100000], Rec Loss: 36.11757660, Spatial ortho loss: 0.00013013, L1 loss: 8.61785126 
Epoch [71/100000], Rec Loss: 30.33927727, Spatial ortho loss: 0.00010945, L1 loss: 8.46714973 
Epoch [81/100000], Rec Loss: 25.93393326, Spatial ortho loss: 0.00009204, L1 loss: 8.34313202 
Epoch [91/100000], Rec Loss: 22.46908188, Spatial ortho loss: 0.00007903, L1 loss: 8.23637390 
Epoch [101/100000], Rec Loss: 19.67897034, Spatial ortho loss: 0.00006976, L1 loss: 8.14193153 
Epoch [111/100000], Rec Loss: 17.38808823, Spatial ortho loss: 0.00006344, L1 loss: 8.05703926 
Epoch [121/100000], Rec Loss: 15.47382069, Spatial ortho loss: 0.00005937, L1 loss: 7.98016310 
Epoch [131/100000], Rec Loss: 13.84959507, Spatial ortho loss: 0.00005683, L1 loss: 7.91070175 
Epoch [141/100000], Rec Loss: 12.48649788, Spatial ortho loss: 0.00005520, L1 loss: 7.84960604 
Epoch [151/100000], Rec Loss: 11.31255245, Spatial ortho loss: 0.00005424, L1 loss: 7.79522371 
Epoch [161/100000], Rec Loss: 10.29606247, Spatial ortho loss: 0.00005394, L1 loss: 7.74406481 
