Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/cylinder_data/velocity_
Data matrix X is n by m: 3961 x 1001
POD error with  2  modes: 0.3425140491385109
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 6
Total number of parameters in DESMO: 8204
Epoch [1/90000], Rec Loss: 57.149925231934, Spatial ortho loss: 0.00000000, L1 loss: 12.0000 
Model saved at epoch 1 to ./models/DESMO_Cylinder_r2_epoch1_20250211_152237.pt
Epoch [11/90000], Rec Loss: 38.008132934570, Spatial ortho loss: 0.00004216, L1 loss: 10.9289 
Epoch [21/90000], Rec Loss: 19.964462280273, Spatial ortho loss: 0.00008403, L1 loss: 10.1152 
Epoch [31/90000], Rec Loss: 15.226396560669, Spatial ortho loss: 0.00008701, L1 loss: 9.5727 
Epoch [41/90000], Rec Loss: 11.340524673462, Spatial ortho loss: 0.00008410, L1 loss: 9.2052 
Epoch [51/90000], Rec Loss: 8.640696525574, Spatial ortho loss: 0.00010244, L1 loss: 8.9529 
Epoch [61/90000], Rec Loss: 6.876467227936, Spatial ortho loss: 0.00010508, L1 loss: 8.7404 
Epoch [71/90000], Rec Loss: 6.004335880280, Spatial ortho loss: 0.00008385, L1 loss: 8.5569 
Epoch [81/90000], Rec Loss: 4.611990928650, Spatial ortho loss: 0.00004734, L1 loss: 8.4077 
Epoch [91/90000], Rec Loss: 3.590636730194, Spatial ortho loss: 0.00002323, L1 loss: 8.2937 
Epoch [101/90000], Rec Loss: 2.817236423492, Spatial ortho loss: 0.00000212, L1 loss: 8.2153 
Epoch [111/90000], Rec Loss: 2.296744585037, Spatial ortho loss: 0.00001609, L1 loss: 8.1712 
Epoch [121/90000], Rec Loss: 1.912356495857, Spatial ortho loss: 0.00002666, L1 loss: 8.1467 
Epoch [131/90000], Rec Loss: 1.567356228828, Spatial ortho loss: 0.00003016, L1 loss: 8.1317 
Epoch [141/90000], Rec Loss: 1.377436757088, Spatial ortho loss: 0.00003215, L1 loss: 8.1194 
Epoch [151/90000], Rec Loss: 1.238478541374, Spatial ortho loss: 0.00003275, L1 loss: 8.1053 
Epoch [161/90000], Rec Loss: 1.126852989197, Spatial ortho loss: 0.00003301, L1 loss: 8.0886 
Epoch [171/90000], Rec Loss: 1.028985261917, Spatial ortho loss: 0.00003288, L1 loss: 8.0695 
Epoch [181/90000], Rec Loss: 0.945828795433, Spatial ortho loss: 0.00003279, L1 loss: 8.0487 
Epoch [191/90000], Rec Loss: 0.873607516289, Spatial ortho loss: 0.00003280, L1 loss: 8.0263 
Epoch [201/90000], Rec Loss: 0.810643732548, Spatial ortho loss: 0.00003290, L1 loss: 8.0026 
Epoch [211/90000], Rec Loss: 0.755085349083, Spatial ortho loss: 0.00003312, L1 loss: 7.9777 
Epoch [221/90000], Rec Loss: 0.705706954002, Spatial ortho loss: 0.00003344, L1 loss: 7.9516 
Epoch [231/90000], Rec Loss: 0.661550760269, Spatial ortho loss: 0.00003389, L1 loss: 7.9243 
Epoch [241/90000], Rec Loss: 0.621852934361, Spatial ortho loss: 0.00003447, L1 loss: 7.8960 
Epoch [251/90000], Rec Loss: 0.585959076881, Spatial ortho loss: 0.00003511, L1 loss: 7.8669 
Epoch [261/90000], Rec Loss: 0.553359925747, Spatial ortho loss: 0.00003579, L1 loss: 7.8372 
